City,Cloudiness,Country,Date,Max Temp,Wind Speed,Lat,Lng,Humidity
Vanimo,92,PG,1565571918,81.95,4.18,-2.67,141.3,73
Anaconda,1,US,1565571919,57.2,6.93,46.13,-112.94,58
Umm Lajj,59,SA,1565571919,86.81,7.36,25.02,37.27,70
Torbay,90,CA,1565571919,66,12.75,47.66,-52.73,82
Abalak,82,NE,1565571919,87.89,15.35,15.46,6.28,45
Impfondo,63,CD,1565571920,70.43,2.37,1.62,18.06,93
Abu Samrah,0,SY,1565571920,70.07,11.81,35.3,37.18,78
Vila Velha,0,BR,1565571920,78.8,8.05,-3.71,-38.6,83
Zhangjiakou,42,CN,1565571920,60.17,15.35,40.77,114.88,84
Henties Bay,0,NA,1565571920,50,4,-22.12,14.28,92
Harnai,100,PK,1565571674,77.63,5.03,30.1,67.94,74
Bursa,0,TR,1565571921,60.8,12.33,40.18,29.07,100
Jerome,75,US,1565571921,88,8.05,34.75,-112.11,25
Kalabo,11,ZM,1565571921,58.37,4.65,-15,22.67,37
Lithgow,6,AU,1565571922,60.8,13.87,-33.48,150.16,41
Dubai,0,AE,1565571835,91.4,6.93,25.27,55.3,79
Ruteng,16,ID,1565571922,77.81,3.22,-8.61,120.46,69
Kuruman,0,ZA,1565571922,41,8.39,-27.46,23.43,37
Gorontalo,64,ID,1565571922,80.33,7.2,0.54,123.06,72
Divnogorsk,0,RU,1565571923,55.4,3.04,55.96,92.38,87
Nigde,0,TR,1565571923,58.19,3.47,37.97,34.68,55
Puchezh,0,RU,1565571923,45.23,8.55,56.98,43.17,85
Puerto Madryn,100,AR,1565571923,39.83,14.2,-42.77,-65.04,70
Guiyang,0,CN,1565571923,68,4.47,26.58,106.71,88
Shenjiamen,50,CN,1565571924,81.59,9.69,29.96,122.3,82
Turukhansk,99,RU,1565571924,48.65,13.65,65.8,87.96,91
Tumwater,75,US,1565571924,72,11.41,47.01,-122.91,93
Terney,100,RU,1565571924,60.35,3.11,45.05,136.61,98
Ofaqim,0,IL,1565571925,75,1.01,31.31,34.62,47
Nantucket,1,US,1565571746,71.6,12.75,41.28,-70.1,73
Clovis,1,US,1565571925,91.4,11.41,36.83,-119.7,25
Luanda,75,AO,1565571925,69.8,4.7,-8.83,13.24,94
Biak,91,ID,1565571925,65.39,4.74,-0.91,122.88,92
Comodoro Rivadavia,75,AR,1565571925,41,10.29,-45.87,-67.48,52
Mildura,0,AU,1565571926,51.01,9.17,-34.18,142.16,70
Puteyets,100,RU,1565571926,39.47,14.58,65.17,57.09,87
Kombissiri,0,BF,1565571926,80.6,8.05,12.07,-1.34,74
Kathu,0,ZA,1565571926,41,7.78,-27.7,23.05,37
Kigoma,20,TZ,1565571926,66.2,2.84,-4.88,29.64,77
Quatre Cocos,40,MU,1565571977,71.6,12.75,-20.21,57.76,73
Pocone,0,BR,1565571977,78.89,2.91,-16.26,-56.62,33
Bilma,0,NE,1565571978,93.29,5.19,18.69,12.92,12
Yeppoon,0,AU,1565571978,66.2,13.87,-23.13,150.74,25
Sabathu,75,IN,1565571978,82.4,2.24,31.01,76.99,100
Porto Walter,52,BR,1565571978,78.17,1.14,-8.27,-72.74,60
Bongandanga,58,CD,1565571979,70.07,2.33,1.51,21.07,98
Mitsamiouli,29,KM,1565571979,76.37,16.87,-11.38,43.28,74
Preobrazheniye,100,RU,1565571979,62.33,2.64,42.9,133.91,92
Champerico,40,MX,1565571980,84.2,12.75,16.38,-93.6,70
Necochea,100,AR,1565571980,46,4,-38.55,-58.74,83
Suceveni,0,RO,1565571980,72,3.36,46.54,27.65,94
Tshikapa,23,CD,1565571980,76.91,2.39,-6.42,20.79,62
Kichmengskiy Gorodok,0,RU,1565571981,35.87,6.26,59.99,45.81,93
Husavik,55,CA,1565571981,70,2.71,50.56,-96.99,38
Shushtar,0,IR,1565571981,81.41,3.13,32.05,48.86,21
Marfino,0,RU,1565571981,54,2.24,56.07,37.56,100
Bilibino,0,RU,1565571981,63.23,7.16,68.06,166.44,47
Kearney,1,US,1565571982,80.6,9.17,40.7,-99.08,74
Matay,0,EG,1565571982,77.81,9.73,28.42,30.79,40
Namibe,34,AO,1565571982,63.41,9.51,-15.19,12.15,85
Rondonopolis,0,BR,1565571693,77.27,2.48,-16.46,-54.64,35
Moussoro,98,TD,1565571982,77.09,15.64,13.64,16.49,82
Awbari,0,LY,1565571982,78.53,7.76,26.59,12.77,23
Vangaindrano,90,MG,1565571785,63.41,2.08,-23.35,47.6,95
Byron Bay,0,AU,1565571787,62.6,12.75,-28.65,153.62,29
Touros,20,BR,1565571752,73.4,4.7,-5.2,-35.46,94
Praia,0,BR,1565571870,69.8,4.56,-20.25,-43.81,56
Belyy Yar,90,RU,1565571983,50,2.57,53.6,91.39,100
Amboasary,0,MG,1565571983,68,20.8,-25.04,46.38,88
Sitka,44,US,1565571984,91.99,14,37.17,-99.65,43
Fairbanks,40,US,1565571791,71.01,5.82,64.84,-147.72,43
Launceston,40,AU,1565571984,45,8.05,-41.43,147.14,75
Assiniboia,4,CA,1565571984,73.49,12.71,49.63,-105.99,37
Gofitskoye,0,RU,1565571984,58.19,3.56,44.26,40.97,64
Thunder Bay,5,CA,1565571985,75.2,8.05,48.41,-89.26,36
Mangrol,75,IN,1565571985,80.6,6.93,25.33,76.51,83
Zhigansk,39,RU,1565571985,70.07,6.93,66.77,123.37,41
Pontes e Lacerda,0,BR,1565571985,76.01,2.08,-15.23,-59.33,28
Linkoping,44,SE,1565571986,60.8,5.82,58.41,15.62,82
Mulchen,94,CL,1565571986,42.17,2.24,-37.72,-72.23,96
West Odessa,20,US,1565572037,98.6,14.99,31.84,-102.48,23
Saraland,1,US,1565571917,80.6,3.36,30.82,-88.07,88
Kloulklubed,75,PW,1565572038,84.2,8.05,7.04,134.26,74
Gunnedah,75,AU,1565572038,48,4.7,-30.98,150.25,75
Phonhong,75,LA,1565572038,77,2.24,18.5,102.42,100
San Isidro,75,CR,1565572038,75.2,11.41,10.02,-84.06,69
Grand Gaube,40,MU,1565572038,71.6,12.75,-20.01,57.66,73
Lasem,10,ID,1565572039,74.57,1.54,-6.99,112.52,77
Salto,0,BR,1565571908,70,14.99,-23.2,-47.29,77
Leshukonskoye,10,RU,1565572039,33.17,3.31,64.9,45.76,95
Kalaleh,90,IR,1565572039,75.2,9.17,37.38,55.49,78
Zhezkazgan,75,KZ,1565572039,59,6.71,47.8,67.71,22
Ternate,75,PH,1565572039,84.99,14.99,14.29,120.72,79
Talcahuano,40,CL,1565572040,48.2,4.7,-36.72,-73.12,87
San Quintin,100,PH,1565572040,78.89,9.86,17.54,120.52,90
Shatsk,40,RU,1565572040,48.65,6.33,54.03,41.71,92
Pangody,97,RU,1565572040,48.29,12.71,65.85,74.49,65
Canyon,40,US,1565571901,93.99,11.41,34.98,-101.92,31
Guerrero Negro,16,MX,1565572041,65.57,15.35,27.97,-114.04,89
Gushikawa,40,JP,1565572041,89.01,9.17,26.35,127.87,79
Wanlaweyn,14,SO,1565572041,72.95,10.11,2.62,44.89,82
Vieste,5,IT,1565572041,78.01,4.7,41.88,16.18,88
Barreirinhas,0,BR,1565571966,74.57,5.37,-2.75,-42.83,85
Tank,22,PK,1565572042,75.47,1.48,32.22,70.39,74
Rosendal,75,NO,1565572042,61,2.24,59.99,6.01,93
Alta Floresta,0,BR,1565572042,75.29,3.27,-9.87,-56.08,36
Altamont,1,CA,1565572042,73.4,6.22,49.4,-98.5,38
Maceio,75,BR,1565572043,73.4,5.82,-9.67,-35.74,83
Yerbogachen,87,RU,1565572043,63.41,12.39,61.28,108.01,55
Tobolsk,81,RU,1565572043,63.95,9.98,58.2,68.25,86
Arlit,51,NE,1565572043,97.43,14.23,18.74,7.39,21
Beloha,0,MG,1565572043,67.55,8.41,-25.17,45.06,62
Atikokan,0,CA,1565572044,70.25,5.46,48.76,-91.62,44
Pulaski,1,US,1565572044,75.2,3.36,37.05,-80.78,60
Zheleznodorozhnyy,10,RU,1565572044,54,4.47,55.75,38,87
Savalou,0,BJ,1565572044,71.33,4.99,7.93,1.98,97
Nemuro,75,JP,1565572045,62.6,9.17,43.32,145.57,88
Ostrovskoye,0,RU,1565572045,39.83,4.63,57.81,42.24,94
Brigantine,1,US,1565572045,77,6.2,39.41,-74.36,53
Inuvik,90,CA,1565572045,51.8,4.7,68.36,-133.71,76
Hambantota,20,LK,1565572046,78.8,5.82,6.12,81.12,88
Baherden,0,TM,1565572046,66.65,12.28,38.44,57.43,71
Mildmay,16,CA,1565572046,72,5.35,44.04,-81.12,83
Excelsior Springs,75,US,1565572046,84.2,6.93,39.34,-94.23,70
Mandalgovi,100,MN,1565572046,58.37,9.15,45.76,106.27,83
